Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
SMFBS,"1,333.00",-4.38,"1,398.00","1,398.00","1,333.00",403,"1,394.00",-61
SMH,499.00,1.4,495.90,500.00,492.50,"5,945",492.10,6.9
SMHL,527.00,-2.04,545.00,545.00,527.00,"167,364",538.00,-11
SMJC,405.00,-0.25,406.00,410.00,398.10,"7,472",406.00,-1
SMPDA,720.00,0,729.00,729.00,707.30,519,720.00,0
SNLI,386.30,-0.44,380.00,391.00,380.00,"11,828",388.00,-1.7
SNORL,879.00,1.74,855.10,879.90,852.00,"9,438",864.00,15
SOHL,650.50,-1.89,650.00,672.90,650.00,"194,626",663.00,-12.5
SONA,404.00,-1.46,415.00,415.00,404.00,"23,807",410.00,-6
SOPL,725.00,-1.23,728.00,733.90,720.20,"26,050",734.00,-9
SPC,397.90,0.23,408.90,408.90,390.00,"1,285",397.00,0.9
SPDL,348.90,1.13,350.00,350.00,341.30,"11,031",345.00,3.9
SPHL,518.00,0.19,515.00,522.00,505.60,"13,060",517.00,1
SPIL,595.30,-1.51,605.00,605.00,595.00,"1,456",604.40,-9.1
SPL,640.00,-3.61,645.00,645.00,622.00,"4,541",664.00,-24
SRLI,355.20,0.48,352.00,358.50,350.00,"13,933",353.50,1.7
SSHL,191.20,-1.09,193.50,194.50,190.00,"49,706",193.30,-2.1
STC,"5,206.10",0.24,"5,269.00","5,269.00","5,200.00","1,168","5,193.70",12.4
SWASTIK,"1,844.90",0.28,"1,804.00","1,857.90","1,799.90",530,"1,839.80",5.1
SWBBL,670.00,0.9,670.00,676.00,665.30,"5,240",664.00,6
SWMF,579.00,-0.43,581.50,581.50,575.00,"1,019",581.50,-2.5
SYPNL,"1,281.00",0.12,"1,215.60","1,311.00","1,215.60","58,760","1,279.50",1.5
TAMOR,503.00,-0.2,500.00,507.00,493.20,"265,982",504.00,-1
TPC,344.00,0,340.00,350.00,339.70,"6,250",344.00,0
TPKHL,515.00,1.98,505.00,520.10,499.00,"23,830",505.00,10
TRH,790.00,-1.13,809.90,809.90,775.00,"4,149",799.00,-9
TSHL,333.40,-0.09,335.00,343.00,332.20,"1,576",333.70,-0.3
TTL,680.00,0.16,685.00,694.00,680.00,"4,541",678.90,1.1
TVCL,330.00,-1.49,319.00,339.40,317.00,"11,916",335.00,-5
UAIL,363.30,-0.87,366.50,371.90,363.10,"13,863",366.50,-3.2
UHEWA,583.60,-1.92,590.00,602.00,583.60,"15,127",595.00,-11.4
ULBSL,"2,926.00",4.87,"2,926.00","2,926.00","2,926.00",10,"2,790.00",136
ULHC,300.00,3.09,290.00,305.00,290.00,"10,180",291.00,9
UMHL,562.40,0.7,555.00,588.00,551.00,"133,544",558.50,3.9
UMRH,514.00,0,505.10,514.00,505.10,"2,839",514.00,0
UNHPL,353.70,-0.08,355.50,357.50,348.40,"5,151",354.00,-0.3
UNL,"46,250.00",0.11,"46,250.00","46,250.00","46,250.00",10,"46,200.00",50
UNLB,"1,234.80",0.81,"1,258.90","1,258.90","1,200.00",503,"1,224.90",9.9
UPCL,344.00,1.5,339.00,344.00,333.00,"39,119",338.90,5.1
UPPER,182.00,-0.76,183.50,184.70,181.50,"67,824",183.40,-1.4
USHEC,492.20,1.69,484.00,519.00,484.00,"8,329",484.00,8.2
USHL,515.00,0.19,539.70,539.70,496.00,"4,175",514.00,1
USLB,"1,012.70",1.78,"1,014.00","1,014.00","1,000.00",221,995.00,17.7
VLBS,619.00,0,618.50,636.90,602.00,"2,035",619.00,0
VLUCL,379.50,1.2,386.20,386.20,370.00,"2,365",375.00,4.5
WNLB,"1,055.00",8.76,971.10,"1,099.00",971.10,"2,068",970.00,85
YMHL,562.00,-0.35,562.00,569.80,548.00,"16,837",564.00,-2
